Applicant Details,SCORING,
Link to application bundle,ALL SCORED,ONLY PASS
application_238_bundle.zip,40,74
application_422_bundle.zip,74,0
application_618_bundle (2).zip,57,0
application_675_bundle (1).zip,23,0
application_691_bundle.zip,47,77
application_262_bundle.zip,73,0
application_279_bundle.zip,47,0
application_386_bundle.zip,39,DQ
application_437_bundle (1).zip,56,0
application_209_bundle.zip,85,0
application_210_bundle.zip,91,47
application_214_bundle.zip,48,64
application_231_bundle.zip,52,DQ
application_292_bundle.zip,75,DQ
application_327_bundle.zip,64,0
application_342_bundle.zip,52,47
application_348_bundle.zip,94,58
application_427_bundle.zip,90,0
application_438_bundle.zip,82,0
application_449_bundle.zip,86,0
application_452_bundle.zip,81,0
application_460_bundle.zip,81,0
application_471_bundle.zip,93,57
application_474_bundle.zip,94,0
application_478_bundle.zip,54,59
application_481_bundle.zip,76,DQ
application_610_bundle.zip,56,33
application_658_bundle.zip,74,0
application_659_bundle.zip,81,46
application_678_bundle.zip,24,48
application_718_bundle (1).zip,73,72
application_190_bundle.zip,79,44
application_255_bundle.zip,71,46
application_276_bundle.zip,64,0
application_293_bundle.zip,59,46
application_373_bundle.zip,67,0
application_399_bundle (1).zip Applicant 399,78,57
application_434_bundle.zip,88,0
application_446_bundle.zip,67,0
application_448_bundle.zip,86,0
application_579_bundle.zip,66,0
application_581_bundle.zip,65,81
application_656_bundle.zip,65,66
application_232_bundle.zip,78,70
application_263_bundle.zip,76,0
application_351_bundle.zip,82,0
application_416_bundle.zip,71,0
application_500_bundle.zip,70,0
application_507_bundle.zip,58,0
application_548_bundle.zip,62,71
application_177_bundle.zip,88,50
application_226_bundle.zip,67,0
application_239_bundle.zip,78,52
application_247_bundle.zip,81,44
application_273_bundle.zip,70,44
application_314_bundle.zip,86,52
application_325_bundle.zip,81,0
application_432_bundle.zip,77,0
application_444_bundle.zip,87,0
application_172_bundle.zip,77,0
application_176_bundle.zip,69,DQ
application_179_bundle.zip,85,0
application_191_bundle.zip,61,0
application_288_bundle.zip,66,0
application_305_bundle.zip,79,0
application_332_bundle.zip,80,0
application_401_bundle (1).zip,73,84
application_408_bundle.zip,63,65
application_411_bundle (1).zip,74,0
application_470_bundle.zip,53,69
application_482_bundle.zip,61,0
application_483_bundle.zip,59,73
application_493_bundle.zip,53,68
application_497_bundle.zip,45,0
application_541_bundle.zip,50,86
application_546_bundle.zip,52,0
application_550_bundle.zip,38,0
application_565_bundle.zip,86,0
application_569_bundle (1).zip,59,0
application_588_bundle.zip,45,93
application_621_bundle.zip,32,71
application_625_bundle.zip,64,0
application_650_bundle (1).zip,35,73
application_717_bundle (1).zip,53,0
application_199_bundle (1).zip,51,0
application_185_bundle.zip,95,0
application_200_bundle.zip,41,0
application_233_bundle.zip,81,0
application_308_bundle.zip,78,66
application_389_bundle.zip,70,0
application_461_bundle.zip,32,0
application_485_bundle.rar,65,0
application_643_bundle.zip,59,0
application_704_bundle.zip,40,0
application_166_bundle.zip,39,0
application_171_bundle.zip,28,0
application_212_bundle.zip,45,0
application_313_bundle.zip,89,0
application_315_bundle.zip,48,0
application_514_bundle.zip,51,56
application_596_bundle.zip,39,0
application_639_bundle.zip,94,96
application_695_bundle.zip,55,0
application_363_bundle.zip,81,0
application_557_bundle.zip,84,0
application_619_bundle (1).zip,86,0
